Target,Phase,NUV Limiting Magnitude,Log UV Luminosity,UV Luminosity [erg/s/Hz],UV Luminosity [erg/s/A],Limit
ASASSN-14co,1180,25.94,24.79,6.17E+24,2.51E+36,TRUE
ASASSN-14dc,1198,25.97,24.98,9.55E+24,3.89E+36,TRUE
ASASSN-14eu,990,25.8,24.64,4.37E+24,1.78E+36,TRUE
ASASSN-14ew,962,25.81,24.3,2.00E+24,8.12E+35,TRUE
ASASSN-14lo,808,25.82,24.26,1.82E+24,7.41E+35,TRUE
ASASSN-14lq,878,25.81,24.49,3.09E+24,1.26E+36,TRUE
ASASSN-14lw,768,25.82,24.02,1.05E+24,4.26E+35,TRUE
ASASSN-15de,652,25.79,25.09,1.23E+25,5.01E+36,TRUE
ASASSN-15hy,695,25.8,24.72,5.25E+24,2.14E+36,TRUE
ASASSN-15jo,666,25.77,24.09,1.23E+24,5.01E+35,TRUE
ASASSN-15nr,540,25.77,24.61,4.07E+24,1.66E+36,TRUE
ASASSN-15og,477,25.91,26.06,1.15E+26,4.67E+37,FALSE
ASASSN-15sh,516,25.75,24.78,6.03E+24,2.45E+36,TRUE
ASASSN-15ut,330,25.81,23.77,5.89E+23,2.40E+35,TRUE
LSQ14fmg,330,,23.77,5.89E+23,2.40E+35,TRUE
LSQ15aae,746,25.8,25.17,1.48E+25,6.02E+36,TRUE
LSQ15adm,728,25.85,25.43,2.69E+25,1.10E+37,TRUE
LSQ15bxe,452,25.79,24.99,9.77E+24,3.98E+36,TRUE
MasterOT0442,926,25.8,24.85,7.08E+24,2.88E+36,TRUE
OGLE-2014-SN-107,756,25.84,25.3,2.00E+25,8.12E+36,TRUE
OGLE-2014-SN-141,726,25.82,25.41,2.57E+25,1.05E+37,TRUE
PS1-13dsg,1472,25.94,25.1,1.26E+25,5.13E+36,TRUE
PS1-14oo,1094,25.86,25.04,1.10E+25,4.46E+36,TRUE
PS15cwx,618,25.94,25.25,1.78E+25,7.24E+36,TRUE
PS15sv,910,25.8,24.96,9.12E+24,3.71E+36,TRUE
PSNJ02+42,898,25.77,24.76,5.75E+24,2.34E+36,TRUE
PSNJ08+48,790,25.79,24.94,8.71E+24,3.55E+36,TRUE
PSNJ23-15,790,,24.94,8.71E+24,3.55E+36,TRUE
PTF11kx,2134,25.84,25.01,1.02E+25,4.17E+36,TRUE
iPTF13asv,1509,25.98,24.75,5.62E+24,2.29E+36,TRUE
iPTF13daw,1509,,24.75,5.62E+24,2.29E+36,TRUE
iPTF13dud,1509,,24.75,5.62E+24,2.29E+36,TRUE
iPTF13ebh,1380,25.98,23.92,8.32E+23,3.39E+35,TRUE
iPTF13s,1561,25.98,25.13,1.35E+25,5.49E+36,TRUE
iPTF14abk,1561,,25.13,1.35E+25,5.49E+36,TRUE
iPTF14aqs,1108,25.94,25.42,2.63E+25,1.07E+37,TRUE
iPTF14atg,1111,26,24.2,1.58E+24,6.45E+35,TRUE
iPTF14bdn,1022,25.83,24,1.00E+24,4.07E+35,TRUE
iPTF14fpg,1074,25.94,24.2,1.58E+24,6.45E+35,TRUE
iPTF14fyq,818,25.87,25.39,2.45E+25,9.99E+36,TRUE
iPTF14gmo,868,25.8,25.38,2.40E+25,9.77E+36,TRUE
iPTF14gnl,1050,25.95,25.09,1.23E+25,5.01E+36,TRUE
iPTF14ibo,954,25.97,25.57,3.72E+25,1.51E+37,TRUE
iPTF14sz,1091,25.82,24.74,5.50E+24,2.24E+36,TRUE
iPTF15agv,662,25.83,24.71,5.13E+24,2.09E+36,TRUE
iPTF15akf,580,25.8,25.12,1.32E+25,5.37E+36,TRUE
iPTF15clp,822,25.91,24.3,2.00E+24,8.12E+35,TRUE
iPTF15eod,378,25.82,24.47,2.95E+24,1.20E+36,TRUE
iPTF15go,763,25.79,24.64,4.37E+24,1.78E+36,TRUE
iPTF15wd,764,25.78,25.18,1.51E+25,6.16E+36,TRUE
iPTF16abc,245,25.76,24.4,2.51E+24,1.02E+36,TRUE
SN 2012cg,1738,25.77,22.41,2.57E+22,1.05E+34,TRUE
SN 2012gl,1584,25.82,23.6,3.98E+23,1.62E+35,TRUE
SN 2013I,1686,25.98,24.77,5.89E+24,2.40E+36,TRUE
SN 2013bh,1566,25.94,25.35,2.24E+25,9.11E+36,TRUE
SN 2013dn,1555,25.91,25.17,1.48E+25,6.02E+36,TRUE
SN 2013dy,1278,25.79,23.11,1.29E+23,5.24E+34,TRUE
SN 2013gh,1478,25.97,23.47,2.95E+23,1.20E+35,TRUE
SN 2013gv,1136,25.79,24.99,9.77E+24,3.98E+36,TRUE
SN 2013hh,1278,25.93,23.76,5.75E+23,2.34E+35,TRUE
SN 2014E,1278,,23.76,5.75E+23,2.34E+35,TRUE
SN 2014I,1056,25.84,24.59,3.89E+24,1.58E+36,TRUE
SN 2014J,1048,25.77,24.63,4.27E+24,1.74E+36,TRUE
SN 2014R,1064,25.73,24.5,3.16E+24,1.29E+36,TRUE
SN 2014ab,1098,25.5,24.51,3.24E+24,1.32E+36,TRUE
SN 2014ai,1021,25.82,24.35,2.24E+24,9.11E+35,TRUE
SN 2014aj,980,25.8,24.48,3.02E+24,1.23E+36,TRUE
SN 2014ap,980,,24.48,3.02E+24,1.23E+36,TRUE
SN 2014aw,1054,25.82,24.78,6.03E+24,2.45E+36,TRUE
SN 2014bn,1090,25.96,25.01,1.02E+25,4.17E+36,TRUE
SN 2014ch,1426,25.98,24.91,8.13E+24,3.31E+36,TRUE
SN 2014dl,998,25.95,24.72,5.25E+24,2.14E+36,TRUE
SN 2014dt,862,25.71,23.13,1.35E+23,5.49E+34,TRUE
SN 2014eg,862,,23.13,1.35E+23,5.49E+34,TRUE
SN 2015F,602,25.81,23.51,3.24E+23,1.32E+35,TRUE
SN 2015aw,510,25.81,24.21,1.62E+24,6.60E+35,TRUE
SN 2015bd,430,25.5,24.37,2.34E+24,9.54E+35,TRUE
SN 2015bp,754,25.81,22.94,8.71E+22,3.55E+34,TRUE
SN 2015bq,718,25.8,24.53,3.39E+24,1.38E+36,TRUE
SN 2015cp,664,25.97,25.88,7.59E+25,3.09E+37,FALSE
